id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
20bNMAI058p1;20bNMAI058p1;NMAI058;Lineární algebra 2;2;890;S3;90;14;;1;;Hladík Milan, doc. Mgr., Ph.D., Loebl Martin, prof. RNDr., CSc.
20bNMAI058p1;20bNMAI058p1b;NMAI058;Lineární algebra 2;2;890;S3;90;1;;13;;Hladík Milan, doc. Mgr., Ph.D., Loebl Martin, prof. RNDr., CSc.
20bNMAI059p2;20bNMAI059p2;NMAI059;Pravdìpodobnost a statistika 1;2;940;S11;90;1;;14;;ámal Robert, doc. Mgr., Ph.D.
20bNMAI059x05;20bNMAI059x05;NMAI059;Pravdìpodobnost a statistika 1;2;740;S6;90;1;;14;;ámal Robert, doc. Mgr., Ph.D.
20bNMAI063p1;20bNMAI063p1;NMAI063;Algebra 2;2;940;S4;90;1;;14;;Patáková Zuzana, RNDr., Ph.D.
20bNMIB010p1;20bNMIB010p1;NMIB010;Aplikace bezpeènostních mechanismù;2;1140;S3;90;1;;14;;Bene Antonín, RNDr., Ph.D.
20bNPFL054p1;20bNPFL054p1;NPFL054;Úvod do strojového uèení v systému R;2;540;S6;90;1;;14;;Holub Martin, RNDr., Ph.D., Vidová Hladká Barbora, doc. Mgr., Ph.D.
20bNPFL054p2;20bNPFL054p2;NPFL054;Úvod do strojového uèení v systému R;2;740;S7;90;1;;14;;Holub Martin, RNDr., Ph.D., Vidová Hladká Barbora, doc. Mgr., Ph.D.
20bNPFL068p1;20bNPFL068p1;NPFL068;Statistické metody zpracování pøirozených jazykù II;2;740;S8;90;1;;14;;Pecina Pavel, doc. RNDr., Ph.D., Hajiè Jan, prof. RNDr., Dr.
20bNPFL068x01;20bNPFL068x01;NPFL068;Statistické metody zpracování pøirozených jazykù II;2;840;SU2;90;1;;14;;Pecina Pavel, doc. RNDr., Ph.D., Hajiè Jan, prof. RNDr., Dr.
20bNPFL114x01;20bNPFL114x01;NPFL114;Hluboké uèení;2;640;S9;90;1;;14;;Straka Milan, RNDr., Ph.D.
20bNPFL114x02;20bNPFL114x02;NPFL114;Hluboké uèení;2;840;SU1;90;1;;14;;Straka Milan, RNDr., Ph.D.
20bNPFL114x03;20bNPFL114x03;NPFL114;Hluboké uèení;2;540;S9;90;1;;14;;Straka Milan, RNDr., Ph.D.
20bNPFL115x01;20bNPFL115x01;NPFL115;Ètení z pragmatiky a sémantiky;2;740;S10;90;1;;14;;Zikánová árka, PhDr., Ph.D., Nedoluzhko Anna, Mgr., Ph.D.
20bNPFL123p1;20bNPFL123p1;NPFL123;Dialogové systémy;2;640;S6;90;1;;14;;Duek Ondøej, Mgr. et Mgr., Ph.D.
20bNPFL123x01;20bNPFL123x01;NPFL123;Dialogové systémy;2;540;S1;90;1;;14;;Duek Ondøej, Mgr. et Mgr., Ph.D.
20bNPGR004p2;20bNPGR004p2;NPGR004;Fotorealistická grafika;2;540;S4;90;1;;14;;Rittig Tobias, B.Sc., M.Sc.
20bNPGR004x02;20bNPGR004x02;NPGR004;Fotorealistická grafika;2;740;SW1;90;1;;14;;Rittig Tobias, B.Sc., M.Sc.
