id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
21aNTIN022p1;21aNTIN022p1;NTIN022;Pravdìpodobnostní techniky;2;740;S5;90;1;;16;;Tancer Martin, doc. RNDr., Ph.D.
21aNTIN043p1;21aNTIN043p1;NTIN043;Formální základy softwarového inženýrství;2;640;S11;90;1;;15;;Neèaský Martin, doc. Mgr., Ph.D., Parízek Pavel, doc. RNDr., Ph.D.
21aNTIN043x01;21aNTIN043x01;NTIN043;Formální základy softwarového inženýrství;2;740;S11;90;1;;15;;Neèaský Martin, doc. Mgr., Ph.D., Parízek Pavel, doc. RNDr., Ph.D.
21aNTIN061p2;21aNTIN061p2;NTIN061;Algoritmy a datové struktury 2;2;540;S4;90;1;;16;;Èepek Ondøej, doc. RNDr., Ph.D.
21aNTIN061x07;21aNTIN061x07;NTIN061;Algoritmy a datové struktury 2;2;740;S7;90;1;;16;;Kuèera Petr, RNDr., Ph.D.
21aNTIN066x02;21aNTIN066x02;NTIN066;Datové struktury 1;2;940;S6;90;1;;16;;Ondráèek Lukáš, Mgr.
21aNTIN090p2;21aNTIN090p2;NTIN090;Základy složitosti a vyèíslitelnosti;2;840;S5;90;1;;16;;Kuèera Petr, RNDr., Ph.D.
21aNTIN090x02;21aNTIN090x02;NTIN090;Základy složitosti a vyèíslitelnosti;2;640;S7;90;1;;16;liche;Kuèera Petr, RNDr., Ph.D.
21aNTIN102x01;21aNTIN102x01;NTIN102;Semináø z teoretické informatiky;2;690;S1;135;1;;15;;Koucký Michal, prof. Mgr., Ph.D., Sgall Jiøí, prof. RNDr., DrSc., Èepek Ondøej, doc. RNDr., Ph.D., Kolman Petr, doc. Mgr., Ph.D., Feldmann Andreas Emil, Dr., Hubáèek Pavel, Mgr., Ph.D.
;R110742008;;Sebranka;2;1140;S8;150;1;;15;; 
;R110754518;;Projekty;2;1080;S1;90;1;;15;;Zavoral Filip, RNDr., Ph.D.
RG110762645;R110762646;;;2;1140;S8;180;;11.1.2022;5;;Bednárek David, RNDr., Ph.D.
